"term","df","sumsq","meansq","statistic","p.value"
"edu",1,0.00405092416606955,0.00405092416606955,17.9071815314942,0.000127160433255541
"country",3,0.138284669437033,0.0460948898123443,203.763271220343,1.17156272139288e-24
"edu:country",3,0.00169029073501076,0.000563430245003585,2.49065330872457,0.0736504307881295
"Residuals",41,0.00927493198841735,0.000226217853376033,NA,NA
